Hk2,Ddt,Srpk1,Crabp2,Atp5g1,Atp7b,Acot13,Actn1,Kdm6b,Tbx3,Hsf2,Actr2,Mdh1,Id2,Ssr1,Hmgcr,Mapk1ip1l,Dpysl2,Spry2,Oxct1,Zscan26,St13,Twf1,Rrn3,Gsk3b,Sod1,Ndufa5,Mpc1,Pim1,Strn,Impact,Dctn4,Pdcd4,Podxl,Acadl,Igfbp5,Ndufa10,Nmt2,Fubp3,Myef2,Mdk,Sall4,Skil,B4galt1,Mier1,Slc2a1,Gnb1,Actb,Tspan12,Cbx3,Abcc9,Sspn,Cox6a2,Acsl4,Adprhl1,Pkm,Amt,Chsy1,Lrrc58,Prtg,Fxyd1,Alpk3,Zfhx3,Fam60a,Arglu1,Wapl,Smpx,Nppa,Poldip3,Usp22,Alkbh5,X4933415A04Rik,Csnk2a2,Cd24a,Rbm15,Tigd2,Apoo.ps,Cited1,Slc39a1,Map1b,Msi1,Tug1,Hmga2,Ado,Sept11,Ndufs8,Wtap,Myl1,Pcnp,Bnip3,Kdelr2,Trim71,Apoo,Mpc1.ps,Ndufab1.ps,Rps19.ps6,Myl7,pseudotime
GSM2033481,1971,43,1188,19,498,95,172,204,301,138,306,1158,1188,1871,6043,251,309,9849,191,343,527,3056,1405,1400,2818,3312,181,42,386,387,991,730,289,486,233,4692,424,1931,351,579,1551,399,437,677,1644,839,1810,20253,471,361,159,0,187,290,0,5305,90,1050,1643,1031,76,2005,361,2437,891,233,29,0,2867,4663,575,112,558,1082,211,0,2,0,395,5255,71,2831,1455,2607,1699,391,268,1334,1180,738,1469,276,207,12,7,50,13558,0.234411560531195
GSM2033484,1751,189,4848,17,2183,85,214,316,62,0,202,1645,4241,952,5322,284,601,7994,236,189,942,5093,1928,1137,2629,5253,663,64,118,29,324,651,103,158,644,230,1020,2622,402,543,1055,373,132,907,674,1212,3251,4362,494,126,0,0,812,91,0,3331,88,429,252,956,294,1426,171,1464,1431,575,1637,449,1519,3730,648,214,465,561,867,656,5,0,631,2512,46,1344,284,2692,2486,619,407,7636,1002,86,1780,300,433,12,5,86,59663,2.02842366038159
GSM2033488,1637,19,728,51,921,99,236,208,231,223,240,1687,2455,1923,2834,193,204,7490,388,435,881,3097,1212,1088,2130,2217,427,60,527,1610,1879,752,315,28,321,1681,724,1704,340,250,214,304,448,647,595,1345,2349,4733,576,329,73,0,842,198,108,1718,118,2219,1589,343,228,2971,835,883,788,776,376,1,1147,1895,440,454,490,941,805,47,4,32,298,4843,28,2424,1860,323,1098,301,305,1224,963,1032,1638,460,153,15,4,63,30733,0.00665806995036755
GSM2033493,3315,82,1651,0,1760,150,120,434,378,246,411,2345,4541,1266,2091,293,493,7043,173,828,354,2803,1624,1202,1697,4682,534,111,325,496,1442,990,410,143,382,2648,578,1796,217,612,1595,260,666,457,349,2142,1906,11937,232,268,111,1,959,191,393,4617,186,1475,1339,574,153,2183,472,1060,1512,619,2822,3272,901,3438,918,486,552,627,269,120,0,4,1044,4782,12,4188,1597,2794,989,756,540,1309,756,2621,2722,506,209,7,22,75,34933,0.00667133988442714
GSM2033495,14,2,2,0,34,3,7,1,3,1,4,10,25,11,16,12,3,49,3,7,2,13,9,4,18,52,4,0,3,3,13,1,2,8,2,3,11,19,1,3,14,0,1,8,13,13,37,147,1,1,0,0,4,2,11,55,1,19,5,3,4,18,0,9,6,4,1,3,31,16,1,3,8,10,2,0,0,0,3,28,0,13,16,13,7,14,2,7,11,18,13,10,2,0,0,2,615,0.00668460981848673
GSM2033499,15,3,2,0,15,2,2,3,6,0,2,23,27,21,51,4,1,89,1,6,9,16,8,11,46,65,0,0,5,9,16,0,4,0,4,49,15,43,4,9,29,2,10,14,9,14,36,437,8,2,0,0,1,3,0,45,1,9,31,4,2,25,10,12,11,7,2,0,49,88,7,2,4,14,4,0,0,0,5,157,0,6,11,12,68,8,1,1,8,1,23,1,1,0,0,0,220,2.42982269611332
GSM2033502,123,9,18,0,40,27,2,11,22,5,8,57,137,70,59,10,9,452,17,12,35,60,14,40,110,136,14,3,22,22,46,11,21,8,22,432,30,106,11,12,15,42,9,21,30,43,105,652,39,5,2,2,74,22,0,247,15,40,69,0,31,125,26,56,31,18,8,5,12,155,20,15,12,6,5,15,0,0,24,181,3,56,17,0,35,15,1,162,25,108,50,28,9,0,0,5,1659,0.00669787975254632
GSM2033503,531,171,408,178,2063,452,103,234,278,244,89,607,3079,1347,1087,384,169,6525,187,397,217,905,475,381,1300,3908,291,74,176,684,740,99,17,333,174,625,288,538,116,80,745,47,426,175,238,1786,1341,5749,447,79,0,11,1531,162,133,3012,155,157,300,543,135,1432,69,541,649,211,291,29,1025,2024,121,490,171,86,142,189,0,0,350,2322,0,469,18,276,952,404,27,842,230,43,1680,157,23,22,2,62,54541,1.02764228092503
GSM2033504,389,94,274,30,1165,35,63,69,90,71,17,444,1387,580,692,122,15,1908,41,82,138,325,260,213,488,1347,85,5,76,261,136,132,14,113,76,375,316,295,131,94,489,87,114,208,148,707,671,2757,142,45,13,8,1381,37,247,1372,114,196,200,79,191,1551,64,186,266,61,120,226,1051,781,74,234,161,102,90,4,1,65,126,1081,0,146,169,120,324,249,18,973,143,79,572,155,87,4,4,45,18279,0.00671114968660591
GSM2033825,69,13,373,0,1962,180,170,72,41,0,151,499,4539,195,1169,49,37,2768,53,307,307,1736,342,518,413,2148,434,168,152,249,362,10,166,2,259,314,623,584,69,167,513,0,142,337,85,200,1312,2783,1,212,289,148,1248,46,85,1435,0,629,282,414,274,2030,60,734,368,152,1515,690,1031,2348,113,566,213,138,166,94,1,35,334,2593,0,710,30,470,247,786,206,3245,316,77,1303,0,242,45,5,12,29119,6.34326948200456
GSM2033826,1,180,954,0,1579,0,97,172,46,0,116,1103,5519,77,367,73,118,3929,36,1608,530,2689,434,492,1134,2700,635,52,80,474,403,146,105,0,236,886,1767,1604,100,151,1210,0,30,0,81,1120,2235,2703,0,365,11,0,716,0,0,3753,7,16,48,352,132,1457,9,1191,843,178,1229,378,990,234,364,66,507,767,276,401,7,71,213,1191,0,796,0,1001,385,335,15,2660,380,194,1163,775,357,20,7,29,30307,6.34328275193862
GSM2033827,1774,85,422,0,2288,254,373,142,22,32,291,881,12706,465,987,741,434,6061,144,784,537,758,860,257,2926,1780,885,133,153,1028,958,78,151,43,438,783,1091,2136,48,411,322,0,456,300,493,1346,1899,4422,999,256,71,447,1023,211,573,868,3,1030,534,191,473,2005,102,478,799,371,2509,902,970,1092,136,88,467,290,244,228,1,11,355,1175,3,783,560,904,2214,761,165,4727,388,677,1343,200,149,32,18,15,51667,6.33674601872266
GSM2033830,948,151,300,0,1442,78,220,84,29,0,91,711,5219,0,365,150,175,1538,62,223,213,1173,190,286,667,3269,579,176,494,402,1468,210,5,186,424,30,455,947,53,288,249,0,94,165,20,1523,624,6178,23,137,56,10,496,60,62,4259,251,213,106,29,121,1220,158,613,472,245,564,1796,880,437,185,25,196,382,258,490,6,141,259,1491,0,634,150,543,414,262,138,4981,397,1691,732,2,371,47,2,21,16863,8.58896733916825
GSM2033831,1451,70,1173,45,1587,106,59,101,153,0,62,812,5609,18,1258,252,198,728,32,1100,43,968,445,463,1047,1250,334,0,191,141,227,40,177,53,638,129,419,322,38,184,249,0,40,399,1037,103,581,2373,0,133,34,235,786,167,22,2035,63,320,205,0,178,1180,17,366,427,28,1764,449,1634,888,89,153,301,272,66,161,1,430,172,2152,1,1257,577,1139,1147,1256,2,1284,250,1256,225,12,67,0,10,17,23677,6.34329602187268
GSM2033832,458,0,37,0,2213,229,330,159,117,0,127,1454,5789,41,1194,279,11,691,61,1316,652,2040,0,453,1733,1901,524,96,114,0,239,113,341,128,103,152,463,1100,126,96,1258,0,708,149,118,1166,1349,4642,5,174,110,0,1398,81,120,2835,63,387,39,30,185,2003,228,1588,463,146,1067,751,797,2898,104,388,487,533,226,197,3,0,343,3052,9,807,31,527,1005,733,275,2835,236,493,714,63,317,33,4,15,26058,6.34330929180674
GSM2033834,744,13,237,0,974,0,272,124,13,7,27,687,2934,299,988,115,14,1961,53,261,163,899,466,180,652,1397,354,65,61,409,379,126,4,22,817,79,832,1904,3,228,161,0,54,244,65,596,1093,1205,735,128,63,252,405,114,1244,613,45,280,632,0,412,1925,161,684,319,222,1417,4363,386,779,145,9,218,583,151,77,2,5,148,1268,0,362,108,155,354,324,145,2689,465,163,492,138,279,11,8,12,30445,8.2387910488887
GSM2033835,276,2,497,0,2048,162,122,124,61,0,93,854,4678,63,1550,289,100,3215,74,1094,648,968,550,556,1544,1552,376,137,200,761,719,42,117,56,200,1215,445,2950,129,281,652,0,219,120,123,232,996,2596,401,204,64,2,764,83,383,1642,219,291,401,107,468,1313,129,904,452,298,298,119,1,1797,50,0,388,78,230,659,5,93,213,6093,0,637,0,740,580,497,74,348,470,27,1225,0,328,17,4,9,31539,6.3433225617408
GSM2033836,73,6,437,0,2329,177,173,43,18,0,126,915,8754,0,1762,553,48,1165,121,881,1043,1280,1,137,942,1154,888,133,330,558,658,41,62,200,521,759,36,15,45,207,469,0,60,323,1,611,425,3550,4,260,232,0,1402,29,0,402,465,74,462,5,805,1908,193,162,681,81,2505,6642,1342,937,139,166,372,121,135,130,7,10,355,1510,0,336,16,0,623,1295,25,6066,290,48,897,0,380,30,4,11,43145,6.34333583167486
GSM2033837,34,178,1064,0,4612,122,0,89,92,0,120,606,8611,150,4138,1577,233,1687,279,206,735,2645,133,415,1674,2256,888,318,451,601,1416,418,424,23,56,840,417,1401,135,627,1161,0,300,155,4,45,2739,3530,0,447,1253,525,2067,0,25,364,119,547,218,57,868,1507,0,266,622,537,561,3400,1922,4608,395,713,412,173,146,313,6,1,632,2246,0,722,12,867,1703,1042,476,2687,404,0,1367,414,258,52,10,15,58219,8.23768144737129
GSM2033838,37,90,693,0,2022,342,325,237,178,0,297,1594,8882,274,1814,19,421,2912,45,236,556,726,156,222,1536,2734,555,146,43,168,836,63,243,41,595,193,987,636,121,349,1055,6,146,24,514,185,786,2575,25,255,363,231,1127,290,14,2536,0,491,116,142,280,2819,123,453,349,109,1013,679,1998,2058,327,128,582,750,439,205,1,0,318,3345,3,1345,43,2835,1059,368,83,1029,226,238,949,498,31,31,5,21,35200,6.34334910160892
GSM2033839,643,254,1511,0,2527,129,434,65,83,0,302,1335,9144,297,2806,147,199,1625,124,675,378,3131,493,373,1143,2943,939,190,399,1410,556,326,365,0,235,562,775,1658,160,367,952,0,139,979,874,204,2135,2678,288,318,400,230,1077,135,24,1791,96,604,261,158,197,1800,127,1282,755,335,3048,1687,554,2462,182,149,293,647,289,470,10,40,509,2248,0,783,289,643,2374,1076,255,6533,540,438,679,551,581,33,6,14,41328,6.34336237154298
GSM2033844,25,1,912,21,661,27,55,110,267,238,151,831,3330,2056,311,459,327,6180,156,1093,628,1848,1326,586,2163,1785,156,184,228,614,1184,158,333,1,639,1390,20,1231,93,321,767,0,1114,217,772,299,965,10257,174,143,0,6,529,102,176,1778,0,1963,1621,0,642,3304,229,1019,703,203,36,0,2175,5001,159,227,650,159,181,0,4,0,542,2143,0,651,425,25,1628,22,169,41,390,869,643,229,201,33,6,9,24490,0.0067244196206655
GSM2033845,989,54,777,0,2125,259,247,149,69,0,83,715,7069,0,1009,208,223,1091,5,448,389,822,330,264,1234,1656,515,94,77,687,931,34,191,0,672,288,505,1608,109,263,677,0,249,449,389,173,1065,1882,0,218,766,169,722,4,111,1379,63,138,72,331,161,1350,142,1132,519,295,2460,996,565,2397,191,179,261,6,144,271,12,313,129,2595,0,478,113,1109,415,815,78,2310,745,993,313,100,274,22,6,17,20473,6.34337564147704
GSM2033850,1526,114,974,0,2572,207,198,174,214,0,155,1348,9804,32,2642,167,124,1827,27,797,359,2487,1,823,1992,2712,735,114,27,1538,1264,545,407,13,491,977,560,946,95,111,1847,0,147,386,296,260,1505,5403,2,138,123,444,992,134,153,2376,41,243,82,0,205,734,459,985,474,110,2337,1093,17,7795,203,332,547,327,228,236,17,213,473,7637,0,1458,0,1263,390,1445,123,5927,334,419,1623,689,862,35,3,30,39585,6.3433889114111
GSM2033851,465,12,76,0,1708,106,121,80,37,0,151,591,6259,0,1667,11,81,1274,38,981,374,2160,416,193,865,1246,445,62,280,35,1059,134,120,1,340,839,274,2015,36,273,556,0,131,223,277,448,1703,4588,703,198,308,61,615,47,98,1043,208,243,1330,124,288,2827,158,572,464,472,1544,1098,1086,404,177,169,308,4,92,243,6,61,114,2137,0,764,247,810,622,934,144,4948,353,153,617,0,414,18,8,15,29037,5.89932746938482
GSM2033852,1368,0,329,0,2903,243,157,240,26,0,58,466,4575,987,441,82,469,4445,53,118,839,1871,1444,379,1044,1690,969,207,363,586,1164,27,61,29,566,1353,778,1700,51,52,287,0,141,325,1106,895,884,4676,805,285,0,336,957,414,464,2735,150,250,705,0,404,2355,4,452,441,25,996,2035,4513,1947,143,19,223,49,80,253,14,161,306,374,7,1446,576,1990,904,1111,16,1543,527,674,1034,1,493,12,7,14,41453,6.34340218134516
GSM2033853,0,128,1,0,2495,84,157,174,94,0,62,717,9952,0,2011,482,3,1055,43,2780,295,2243,1557,393,490,1705,567,300,7,503,67,29,119,16,393,188,253,1336,115,410,0,0,521,584,109,1154,927,3983,780,96,48,0,693,64,0,1660,28,142,432,276,456,1162,1,1,397,0,511,4725,2994,1091,502,0,384,7,10,6,3,0,559,1590,0,179,0,13,10,659,50,6692,604,313,948,10,65,58,14,23,52168,6.34341545127921
GSM2033856,421,2,130,0,1829,84,99,97,2,0,184,689,6645,51,1081,336,4,1357,99,935,264,1087,0,273,1444,1258,544,67,92,511,440,52,11,0,151,1108,959,1040,110,198,571,0,135,58,254,77,941,3229,809,197,344,0,1162,65,283,657,163,58,318,160,631,476,0,607,709,187,1710,312,746,1269,38,0,453,347,66,229,10,0,332,1173,0,711,0,1760,1924,374,231,3817,213,376,754,0,530,16,8,24,37269,7.8606952053789
GSM2033858,233,17,163,1,275,11,25,26,8,0,17,161,1020,0,224,27,48,144,10,187,42,217,80,56,154,162,78,23,34,67,98,32,21,12,35,52,64,95,32,18,36,4,15,26,39,67,105,674,40,14,79,13,81,13,29,259,39,18,48,6,65,183,29,116,62,42,193,166,168,507,36,5,89,10,27,44,1,0,10,392,0,107,4,37,47,56,8,581,43,93,78,1,80,5,1,2,3107,7.95847633238029
GSM2033860,989,0,16,0,1543,93,225,57,50,0,78,760,9194,0,294,178,76,999,195,427,643,801,211,342,966,982,533,209,49,1326,990,56,78,1,801,680,88,1754,86,214,371,0,161,487,203,114,1942,3191,4,108,638,264,509,65,0,612,34,44,952,0,226,1210,202,338,267,125,1493,352,495,1939,57,28,517,99,32,61,12,72,395,2612,0,981,177,242,813,778,189,5859,353,258,562,0,519,42,4,12,42243,6.34342872121327
GSM2033861,14,85,71,5,632,59,47,147,27,0,24,304,1144,63,645,64,59,528,43,218,104,396,121,96,297,281,250,32,27,257,266,21,58,4,106,818,155,194,40,64,81,0,109,61,139,34,277,976,176,73,141,9,168,57,10,487,24,18,165,166,72,223,100,119,324,213,385,125,191,387,172,15,178,161,60,202,4,0,24,848,1,374,52,113,279,203,29,919,63,151,220,20,29,9,5,6,9392,8.20473240560146
GSM2033862,495,0,3,0,1640,276,42,201,91,0,72,892,6437,0,1288,438,208,1359,83,429,151,1479,0,544,1664,1588,760,156,204,1070,729,254,183,134,305,80,506,1488,146,114,278,0,304,467,388,1072,1740,5351,4,39,349,7,604,145,58,1046,0,663,1055,421,238,2700,64,896,448,99,876,939,1916,2265,44,0,325,1,160,23,22,201,147,4669,0,825,5,742,939,518,44,4843,230,354,344,0,913,13,8,21,34317,6.34344199114733
GSM2033863,20,0,219,0,694,130,104,82,2,0,30,879,2894,0,770,24,1,248,13,98,106,224,156,0,491,1644,319,87,349,241,94,389,0,6,30,3,130,968,47,254,221,0,106,240,627,64,426,2563,1,114,21,499,306,90,98,1403,36,159,21,50,70,412,212,328,313,278,976,338,251,459,122,23,455,161,145,57,8,568,85,334,0,185,263,27,282,391,50,757,122,274,527,2,286,16,6,10,10529,8.58898060910231
GSM2033864,1205,0,3,0,1028,76,315,166,49,0,73,1068,6704,0,1274,778,128,751,41,919,46,1565,176,258,1597,1869,323,94,23,297,0,10,18,0,48,960,517,1001,23,115,641,53,473,383,276,120,1214,6505,45,144,139,54,983,18,204,2632,5,226,297,3,34,785,958,659,517,55,1142,75,878,847,30,611,667,615,128,581,10,17,147,3833,0,72,136,602,716,836,275,4353,423,85,913,170,436,20,6,10,34783,6.34345526108139
GSM2033866,341,36,262,0,1049,0,411,92,19,0,89,541,5099,0,1233,716,82,1065,26,619,2,1420,887,103,739,1321,543,18,66,557,508,225,205,185,523,140,515,745,91,180,178,0,46,281,675,589,911,2276,0,194,232,51,519,82,176,2628,0,216,173,178,45,1656,7,220,475,465,375,670,1957,0,175,203,190,220,133,170,10,274,275,437,0,208,5,914,1044,565,185,2496,348,869,572,216,524,3,10,6,25992,6.34346853101545
GSM2033867,613,22,664,0,1632,5,99,136,32,0,14,695,9155,1,1805,220,1,1534,28,1609,176,1402,975,93,662,821,575,98,69,323,338,105,32,63,135,300,149,1195,101,100,430,0,407,70,2,40,819,3599,566,205,28,45,743,136,170,558,29,145,837,23,218,566,0,142,204,176,1686,350,1,2036,68,92,49,78,93,201,4,1,129,4517,0,1483,1,1,814,378,115,7744,164,393,406,0,142,35,4,6,34700,6.34348180094951
GSM2033868,624,0,1386,0,1108,0,220,84,60,0,116,1140,6178,1168,625,2,85,3192,151,998,168,867,1021,58,883,1468,528,0,174,1040,581,111,176,2,279,510,459,3102,187,146,1202,212,190,286,597,123,1999,3931,766,225,3,7,789,37,306,2235,0,197,549,0,303,1416,148,1334,310,131,0,131,584,2159,337,562,735,224,67,24,9,0,433,3574,57,102,50,3,560,796,22,898,505,166,701,219,371,0,2,28,38527,6.34349507088357
GSM2033870,1597,115,296,0,2109,223,171,149,76,0,128,1654,5643,22,2590,915,231,1497,125,290,130,2039,1182,473,1313,1827,478,205,89,657,1247,320,249,2,559,618,202,2321,96,182,481,0,370,478,754,749,1887,4150,9,301,387,20,1163,4,73,2270,104,405,539,244,247,1140,248,1158,386,169,1492,810,643,3207,214,150,584,79,178,580,22,155,270,4099,9,1484,111,681,987,687,191,3005,626,976,861,222,614,45,7,22,33738,6.34246283820639
GSM2033871,1572,20,845,0,1866,191,133,125,43,0,237,1049,7224,85,3682,152,226,1153,73,430,149,1070,13,428,1467,593,481,229,92,988,217,155,30,234,402,559,1183,871,31,236,844,5,100,154,249,1003,1935,4786,75,391,130,530,866,25,332,1437,24,276,936,454,323,2016,273,1083,505,280,1948,1739,1495,1400,150,58,977,418,201,356,10,5,347,4725,0,957,168,3,274,668,189,6654,572,778,920,195,603,63,2,18,30163,6.41303187283776
GSM2033872,573,40,51,0,1980,87,232,84,34,0,66,1117,9427,362,869,270,77,1733,128,584,440,2041,681,293,1905,937,633,175,60,807,727,94,140,0,109,950,744,1410,61,462,126,0,346,359,266,163,1301,5008,222,128,360,6,449,151,0,1728,44,114,308,27,157,2064,0,337,318,398,1236,119,1344,1977,129,1,763,59,97,88,13,0,257,2887,0,415,38,1012,699,808,242,5707,620,310,316,0,502,40,6,12,39484,8.23240034262794
GSM2033873,1,84,238,0,909,8,0,141,10,0,45,438,3563,1,1549,120,40,1039,104,374,292,1524,259,284,808,695,293,47,37,430,715,33,37,136,117,29,387,510,51,128,166,0,49,374,370,302,817,3173,0,167,39,53,737,15,308,1266,5,209,271,19,334,903,121,650,355,370,1029,606,1062,1702,185,147,218,72,171,271,6,103,82,1173,0,1944,21,449,493,272,111,2729,209,228,598,0,223,9,2,22,19372,8.22805034267394
GSM2033874,1646,62,7,0,2462,73,43,36,182,0,108,686,5071,17,606,162,192,672,148,182,224,1101,408,411,1409,1423,332,6,160,511,60,10,165,91,413,2402,437,1622,112,39,291,0,193,262,474,6,918,3517,22,126,229,433,739,6,0,2668,38,658,17,205,247,1337,2,427,244,41,181,760,1437,1559,110,1,116,0,149,69,7,0,232,3781,0,1280,33,3,1,850,180,3456,311,502,498,0,218,1,3,10,28843,5.53885036091983
GSM2033875,209,129,399,0,1385,204,185,11,32,0,137,1506,5807,0,398,502,108,1269,124,805,495,1107,250,262,759,2683,345,143,624,143,462,7,66,83,224,1493,587,1353,96,206,111,0,175,128,272,57,490,5573,14,104,208,18,651,0,0,1168,183,452,636,193,297,1531,60,281,263,356,565,672,514,684,227,62,362,896,52,295,10,0,309,2734,0,556,16,3,462,900,321,2655,444,451,216,0,595,39,6,9,23719,8.58899387903637
GSM2033876,2932,55,1489,0,2711,33,154,117,211,42,55,1215,11658,2282,597,22,0,4409,279,177,478,2018,4,140,1178,2148,820,8,152,1014,691,95,88,139,95,4345,2038,1557,63,39,464,0,167,385,455,1960,443,7025,552,155,7,0,967,69,1,2734,1,1518,73,489,111,3591,23,1022,343,1329,304,38,0,775,125,670,681,531,101,187,14,0,321,1261,11,3461,1030,36,15,1480,317,1199,191,1845,1682,113,662,1,6,16,55374,4.29761450308261
GSM2033877,51,6,202,0,1167,31,134,41,6,0,105,183,3115,115,745,142,132,509,13,1443,322,60,222,913,885,829,327,119,91,3,374,94,2,12,515,746,98,754,0,112,45,0,138,229,169,46,342,3949,59,179,128,179,519,0,0,1162,96,188,157,84,172,1254,17,163,276,25,358,1293,452,641,116,0,82,427,188,727,5,0,57,849,0,626,4,1,627,197,62,2254,451,346,1048,0,216,20,7,8,33833,7.69154313748145
GSM2033878,1966,256,371,0,3318,49,251,148,35,0,25,1604,3973,82,1489,81,518,1613,63,436,168,724,456,349,978,1517,413,44,117,233,1228,600,85,60,284,103,313,1614,120,94,550,0,192,426,715,1260,900,6198,687,101,517,134,371,102,18,3962,176,153,527,17,35,1280,200,286,446,124,1068,1963,1108,1221,604,93,321,176,139,324,4,0,55,1608,0,1394,355,849,781,604,0,2832,212,1191,601,314,149,10,7,12,21802,6.38167747980849
GSM2033879,648,143,291,0,1504,217,507,216,107,67,85,1017,8046,617,1653,513,379,5074,88,1139,643,2633,373,561,1262,1598,730,76,233,865,1078,304,46,195,352,650,518,1437,83,87,863,14,463,325,476,754,1287,5284,994,225,42,451,1230,159,335,2017,118,550,818,360,390,1397,391,380,390,109,1661,24,520,1930,447,141,190,120,156,113,8,208,395,2826,10,1662,378,446,271,997,178,1834,629,534,765,316,244,19,16,30,39476,6.34350834081763
GSM2033880,1448,0,378,0,2309,237,401,119,16,0,69,1351,6288,0,1445,292,232,1542,150,731,425,1865,154,294,1923,1321,589,193,69,438,418,145,77,298,259,661,829,840,164,448,713,0,125,414,544,1254,528,4109,143,152,442,7,720,86,450,1304,44,262,269,315,113,1172,290,597,534,315,1330,3095,890,1923,264,13,213,0,403,918,9,0,184,1459,0,931,138,1595,233,224,78,3005,288,418,515,157,317,56,1,9,36002,7.74507900080801
GSM2033881,588,51,119,0,1496,32,251,43,61,0,49,616,5452,0,361,159,14,922,85,657,124,883,174,139,1056,1824,484,173,58,102,766,35,222,51,380,312,481,625,18,172,264,0,137,235,40,161,1191,2912,5,166,64,148,924,0,107,1506,205,101,188,230,126,700,0,663,374,245,1342,305,1320,1052,383,89,164,162,110,35,4,170,365,2912,0,836,53,265,959,440,161,2248,229,91,363,0,186,34,7,13,28273,8.23245046144069
GSM2033882,452,0,24,0,1283,0,180,12,14,0,7,491,4976,0,555,133,185,1084,102,588,25,935,99,0,732,1303,395,111,232,338,151,0,172,0,7,239,335,362,56,175,219,0,647,356,0,119,714,4501,84,267,317,114,1217,37,313,2211,134,418,10,32,351,1506,9,37,275,80,1523,2362,546,1117,25,97,99,5,88,550,3,0,132,1922,0,342,0,387,335,242,207,2417,301,362,833,0,186,19,3,12,34211,6.34352161075169
GSM2033883,2546,71,815,0,2258,103,183,193,123,0,108,537,6680,0,1067,753,219,1840,118,817,229,1226,91,227,1299,1880,484,125,322,449,428,172,4,49,866,545,874,865,85,314,360,0,302,105,397,865,1290,4714,195,170,226,51,878,82,134,3022,135,337,398,141,494,2573,5,481,391,356,1342,4713,1093,1352,430,38,496,20,237,347,8,0,302,3090,1,1273,90,229,367,416,247,5952,533,721,992,21,353,23,12,14,44400,6.4624841620254
GSM2033884,5733,12,1855,0,1827,151,122,82,183,0,34,557,6388,18,2529,254,48,2395,100,144,360,1819,657,361,1736,1993,631,212,7,1469,1122,405,19,0,167,267,1238,2574,123,363,747,0,10,358,367,1541,619,5222,1002,266,28,0,826,304,96,2033,70,388,1486,361,225,2494,142,1887,562,289,1215,8348,2275,2418,260,140,521,529,563,809,5,2,194,6544,0,868,223,527,453,296,239,2748,313,1024,1030,279,298,41,3,30,26839,8.58900714897043
GSM2033885,948,0,107,0,717,0,18,125,88,23,20,812,2807,760,393,48,13,2470,66,43,40,753,243,93,687,1087,160,33,62,442,467,168,57,11,193,369,64,362,42,22,132,0,356,290,0,412,691,1602,0,124,0,377,695,23,90,2150,0,203,330,0,222,1715,12,385,270,240,421,1,602,1240,51,86,296,293,94,0,4,0,99,608,0,1003,385,447,1719,198,74,221,131,618,300,161,280,4,3,2,16448,0.00673768955472509
GSM2033886,1258,44,74,0,2667,18,290,23,358,0,69,774,7582,0,1582,10,35,430,245,784,379,1325,290,81,616,1021,396,180,239,40,730,346,2,18,55,1036,452,394,76,174,208,0,93,560,319,249,523,3731,412,69,240,412,955,0,0,1819,257,468,1025,60,238,1515,160,251,337,193,987,4993,202,799,147,0,391,31,127,516,3,0,266,1175,0,900,0,193,381,306,149,9688,239,111,417,0,174,51,6,12,49468,6.34353488068575
GSM2033888,356,104,92,0,1883,9,147,73,30,0,132,105,11282,32,887,133,33,1415,81,284,194,340,525,87,327,1340,385,367,40,1,276,51,33,6,100,566,807,195,32,25,530,0,0,102,18,129,1176,2118,661,67,27,51,1412,46,9,1489,112,7,44,54,620,1466,9,121,370,77,1065,2008,469,1308,92,86,463,119,24,227,7,16,400,405,0,265,69,290,565,982,150,4590,175,261,574,0,303,86,12,19,38051,6.33338390075881
GSM2033889,427,84,149,0,1939,199,77,104,93,0,73,757,7427,7,7,63,150,227,227,1119,590,1397,0,70,267,1019,415,109,9,497,169,164,48,0,194,613,483,673,186,104,179,0,23,420,186,459,305,5404,0,197,162,66,1690,0,135,1496,178,171,36,1,390,2771,8,160,529,241,1292,4635,40,1044,808,7,223,1,272,278,13,0,212,127,0,415,37,488,165,438,21,2273,158,414,356,0,557,47,9,12,21631,6.34061535187038
GSM2033890,907,13,38,0,2172,138,4,123,164,0,156,652,5273,11,1313,351,133,1035,97,540,86,1566,313,275,1716,1782,430,306,147,566,23,225,267,7,523,608,701,1833,105,107,377,0,455,505,381,585,1599,3549,9,254,472,216,683,168,165,445,81,243,478,248,248,1359,97,328,398,106,745,619,689,2220,433,165,165,203,324,215,19,185,441,1815,0,597,11,316,1256,459,260,3393,518,234,579,0,685,53,5,10,27782,6.34354815061981
GSM2033891,12,11,203,0,1670,17,131,175,76,0,117,1442,7759,7,2071,434,1,1776,54,1081,377,814,376,755,1383,1126,639,172,91,507,1139,229,42,31,636,633,1195,881,80,161,388,0,148,546,0,897,1938,3028,851,224,339,30,681,79,322,2137,57,376,910,189,371,1575,57,822,480,284,1837,3453,6,3164,360,26,432,461,162,337,7,2,278,4939,0,1201,0,692,1131,477,22,3516,456,62,877,392,160,59,13,11,29908,6.34356142055386
GSM2033894,331,19,18,17,1999,61,19,78,24,0,84,473,5466,75,684,130,111,900,95,652,313,1611,480,339,1568,1113,574,220,90,799,347,5,24,0,371,300,998,196,62,234,146,0,256,344,43,315,1000,3531,232,209,199,37,1076,53,859,944,7,275,353,31,425,2635,36,311,208,159,1120,2652,2863,1974,73,60,214,107,152,272,6,62,191,759,0,1212,5,320,549,590,347,5622,297,442,627,142,322,34,10,13,31545,6.44896569779019
